,state,season,mmwr_week,age_category,sex,race,rate
31,Entire Network (RSV-NET),2018-2019,Overall,Overall,Overall,"Black, non-Hispanic",27.4
32,Entire Network (RSV-NET),2018-2019,Overall,Overall,Overall,Hispanic,28.6
33,Entire Network (RSV-NET),2018-2019,Overall,Overall,Overall,"White, non-Hispanic",20.6
34,Entire Network (RSV-NET),2019-2020,Overall,Overall,Overall,"A/PI, non-Hispanic",17
35,Entire Network (RSV-NET),2019-2020,Overall,Overall,Overall,"AI/AN, non-Hispanic",53.5
36,Entire Network (RSV-NET),2019-2020,Overall,Overall,Overall,"Black, non-Hispanic",32.2
37,Entire Network (RSV-NET),2019-2020,Overall,Overall,Overall,Hispanic,37.9
38,Entire Network (RSV-NET),2019-2020,Overall,Overall,Overall,"White, non-Hispanic",25.8
39,Entire Network (RSV-NET),2020-2021,Overall,Overall,Overall,"A/PI, non-Hispanic",4.7
40,Entire Network (RSV-NET),2020-2021,Overall,Overall,Overall,"AI/AN, non-Hispanic",6
41,Entire Network (RSV-NET),2020-2021,Overall,Overall,Overall,"Black, non-Hispanic",20.6
42,Entire Network (RSV-NET),2020-2021,Overall,Overall,Overall,Hispanic,16.3
43,Entire Network (RSV-NET),2020-2021,Overall,Overall,Overall,"White, non-Hispanic",9.6
44,Entire Network (RSV-NET),2021-2022,Overall,Overall,Overall,"A/PI, non-Hispanic",16.2
45,Entire Network (RSV-NET),2021-2022,Overall,Overall,Overall,"AI/AN, non-Hispanic",31.4
46,Entire Network (RSV-NET),2021-2022,Overall,Overall,Overall,"Black, non-Hispanic",31.4
47,Entire Network (RSV-NET),2021-2022,Overall,Overall,Overall,Hispanic,37.7
48,Entire Network (RSV-NET),2021-2022,Overall,Overall,Overall,"White, non-Hispanic",23.2
49,Entire Network (RSV-NET),2022-2023,Overall,Overall,Overall,"A/PI, non-Hispanic",27.8
50,Entire Network (RSV-NET),2022-2023,Overall,Overall,Overall,"AI/AN, non-Hispanic",55.7
51,Entire Network (RSV-NET),2022-2023,Overall,Overall,Overall,"Black, non-Hispanic",34.5
52,Entire Network (RSV-NET),2022-2023,Overall,Overall,Overall,Hispanic,60.2
53,Entire Network (RSV-NET),2022-2023,Overall,Overall,Overall,"White, non-Hispanic",34.9
54,Entire Network (RSV-NET),2014-2015,Overall,Overall,Female,Overall,5.2
55,Entire Network (RSV-NET),2014-2015,Overall,Overall,Male,Overall,3.5
56,Entire Network (RSV-NET),2015-2016,Overall,Overall,Female,Overall,8
57,Entire Network (RSV-NET),2015-2016,Overall,Overall,Male,Overall,5.4
58,Entire Network (RSV-NET),2016-2017,Overall,Overall,Female,Overall,9.3
59,Entire Network (RSV-NET),2016-2017,Overall,Overall,Male,Overall,7.6
60,Entire Network (RSV-NET),2017-2018,Overall,Overall,Female,Overall,9.9
61,Entire Network (RSV-NET),2017-2018,Overall,Overall,Male,Overall,7.1
62,Entire Network (RSV-NET),2018-2019,Overall,Overall,Female,Overall,23.6
63,Entire Network (RSV-NET),2018-2019,Overall,Overall,Male,Overall,25
64,Entire Network (RSV-NET),2019-2020,Overall,Overall,Female,Overall,29.5
65,Entire Network (RSV-NET),2019-2020,Overall,Overall,Male,Overall,31.7
66,Entire Network (RSV-NET),2020-2021,Overall,Overall,Female,Overall,12
67,Entire Network (RSV-NET),2020-2021,Overall,Overall,Male,Overall,13.8
68,Entire Network (RSV-NET),2021-2022,Overall,Overall,Female,Overall,27.6
69,Entire Network (RSV-NET),2021-2022,Overall,Overall,Male,Overall,29.1
70,Entire Network (RSV-NET),2022-2023,Overall,Overall,Female,Overall,48
71,Entire Network (RSV-NET),2022-2023,Overall,Overall,Male,Overall,51.7
72,Entire Network (RSV-NET),2014-2015,Overall,Overall,Female,"A/PI, non-Hispanic",0.5
73,Entire Network (RSV-NET),2014-2015,Overall,Overall,Female,"AI/AN, non-Hispanic",3.4
74,Entire Network (RSV-NET),2014-2015,Overall,Overall,Female,"Black, non-Hispanic",5.4
75,Entire Network (RSV-NET),2014-2015,Overall,Overall,Female,Hispanic,1.1
76,Entire Network (RSV-NET),2014-2015,Overall,Overall,Female,"White, non-Hispanic",3.9
77,Entire Network (RSV-NET),2014-2015,Overall,Overall,Male,"A/PI, non-Hispanic",0.4
78,Entire Network (RSV-NET),2014-2015,Overall,Overall,Male,"AI/AN, non-Hispanic",0
79,Entire Network (RSV-NET),2014-2015,Overall,Overall,Male,"Black, non-Hispanic",4.6
80,Entire Network (RSV-NET),2014-2015,Overall,Overall,Male,Hispanic,0.7
81,Entire Network (RSV-NET),2014-2015,Overall,Overall,Male,"White, non-Hispanic",2.7
82,Entire Network (RSV-NET),2015-2016,Overall,Overall,Female,"A/PI, non-Hispanic",2.4
83,Entire Network (RSV-NET),2015-2016,Overall,Overall,Female,"AI/AN, non-Hispanic",10.1
84,Entire Network (RSV-NET),2015-2016,Overall,Overall,Female,"Black, non-Hispanic",8.9
85,Entire Network (RSV-NET),2015-2016,Overall,Overall,Female,Hispanic,3.9
86,Entire Network (RSV-NET),2015-2016,Overall,Overall,Female,"White, non-Hispanic",7
87,Entire Network (RSV-NET),2015-2016,Overall,Overall,Male,"A/PI, non-Hispanic",2.7
88,Entire Network (RSV-NET),2015-2016,Overall,Overall,Male,"AI/AN, non-Hispanic",3.7
89,Entire Network (RSV-NET),2015-2016,Overall,Overall,Male,"Black, non-Hispanic",5.6
90,Entire Network (RSV-NET),2015-2016,Overall,Overall,Male,Hispanic,3
91,Entire Network (RSV-NET),2015-2016,Overall,Overall,Male,"White, non-Hispanic",4.2
92,Entire Network (RSV-NET),2016-2017,Overall,Overall,Female,"A/PI, non-Hispanic",7.4
93,Entire Network (RSV-NET),2016-2017,Overall,Overall,Female,"AI/AN, non-Hispanic",4.7
94,Entire Network (RSV-NET),2016-2017,Overall,Overall,Female,"Black, non-Hispanic",9.9
95,Entire Network (RSV-NET),2016-2017,Overall,Overall,Female,Hispanic,3.2
96,Entire Network (RSV-NET),2016-2017,Overall,Overall,Female,"White, non-Hispanic",10.2
97,Entire Network (RSV-NET),2016-2017,Overall,Overall,Male,"A/PI, non-Hispanic",6.2
98,Entire Network (RSV-NET),2016-2017,Overall,Overall,Male,"AI/AN, non-Hispanic",2.7
99,Entire Network (RSV-NET),2016-2017,Overall,Overall,Male,"Black, non-Hispanic",6.4
100,Entire Network (RSV-NET),2016-2017,Overall,Overall,Male,Hispanic,4.4
101,Entire Network (RSV-NET),2016-2017,Overall,Overall,Male,"White, non-Hispanic",8.6
102,Entire Network (RSV-NET),2017-2018,Overall,Overall,Female,"A/PI, non-Hispanic",7.7
103,Entire Network (RSV-NET),2017-2018,Overall,Overall,Female,"AI/AN, non-Hispanic",15.4
104,Entire Network (RSV-NET),2017-2018,Overall,Overall,Female,"Black, non-Hispanic",9.1
105,Entire Network (RSV-NET),2017-2018,Overall,Overall,Female,Hispanic,5.2
106,Entire Network (RSV-NET),2017-2018,Overall,Overall,Female,"White, non-Hispanic",10.6
107,Entire Network (RSV-NET),2017-2018,Overall,Overall,Male,"A/PI, non-Hispanic",6.7
108,Entire Network (RSV-NET),2017-2018,Overall,Overall,Male,"AI/AN, non-Hispanic",12.6
109,Entire Network (RSV-NET),2017-2018,Overall,Overall,Male,"Black, non-Hispanic",6.2
110,Entire Network (RSV-NET),2017-2018,Overall,Overall,Male,Hispanic,3.4
111,Entire Network (RSV-NET),2017-2018,Overall,Overall,Male,"White, non-Hispanic",7.5
112,Entire Network (RSV-NET),2018-2019,Overall,Overall,Female,"A/PI, non-Hispanic",15.6
113,Entire Network (RSV-NET),2018-2019,Overall,Overall,Female,"AI/AN, non-Hispanic",36.8
114,Entire Network (RSV-NET),2018-2019,Overall,Overall,Female,"Black, non-Hispanic",25.3
115,Entire Network (RSV-NET),2018-2019,Overall,Overall,Female,Hispanic,28
116,Entire Network (RSV-NET),2018-2019,Overall,Overall,Female,"White, non-Hispanic",20.5
117,Entire Network (RSV-NET),2018-2019,Overall,Overall,Male,"A/PI, non-Hispanic",17.4
118,Entire Network (RSV-NET),2018-2019,Overall,Overall,Male,"AI/AN, non-Hispanic",37.5
119,Entire Network (RSV-NET),2018-2019,Overall,Overall,Male,"Black, non-Hispanic",29.7
120,Entire Network (RSV-NET),2018-2019,Overall,Overall,Male,Hispanic,29.2
121,Entire Network (RSV-NET),2018-2019,Overall,Overall,Male,"White, non-Hispanic",20.6
122,Entire Network (RSV-NET),2019-2020,Overall,Overall,Female,"A/PI, non-Hispanic",15.5
123,Entire Network (RSV-NET),2019-2020,Overall,Overall,Female,"AI/AN, non-Hispanic",52.4
124,Entire Network (RSV-NET),2019-2020,Overall,Overall,Female,"Black, non-Hispanic",30
125,Entire Network (RSV-NET),2019-2020,Overall,Overall,Female,Hispanic,35.4
126,Entire Network (RSV-NET),2019-2020,Overall,Overall,Female,"White, non-Hispanic",25.8
127,Entire Network (RSV-NET),2019-2020,Overall,Overall,Male,"A/PI, non-Hispanic",18.6
128,Entire Network (RSV-NET),2019-2020,Overall,Overall,Male,"AI/AN, non-Hispanic",54.7
129,Entire Network (RSV-NET),2019-2020,Overall,Overall,Male,"Black, non-Hispanic",34.6
130,Entire Network (RSV-NET),2019-2020,Overall,Overall,Male,Hispanic,40.4
131,Entire Network (RSV-NET),2019-2020,Overall,Overall,Male,"White, non-Hispanic",25.8
132,Entire Network (RSV-NET),2020-2021,Overall,Overall,Female,"A/PI, non-Hispanic",4.1
133,Entire Network (RSV-NET),2020-2021,Overall,Overall,Female,"AI/AN, non-Hispanic",7.7
134,Entire Network (RSV-NET),2020-2021,Overall,Overall,Female,"Black, non-Hispanic",18.9
135,Entire Network (RSV-NET),2020-2021,Overall,Overall,Female,Hispanic,16
136,Entire Network (RSV-NET),2020-2021,Overall,Overall,Female,"White, non-Hispanic",8.9
137,Entire Network (RSV-NET),2020-2021,Overall,Overall,Male,"A/PI, non-Hispanic",5.4
138,Entire Network (RSV-NET),2020-2021,Overall,Overall,Male,"AI/AN, non-Hispanic",4.2
139,Entire Network (RSV-NET),2020-2021,Overall,Overall,Male,"Black, non-Hispanic",22.6
140,Entire Network (RSV-NET),2020-2021,Overall,Overall,Male,Hispanic,16.7
141,Entire Network (RSV-NET),2020-2021,Overall,Overall,Male,"White, non-Hispanic",10.2
142,Entire Network (RSV-NET),2021-2022,Overall,Overall,Female,"A/PI, non-Hispanic",16.4
143,Entire Network (RSV-NET),2021-2022,Overall,Overall,Female,"AI/AN, non-Hispanic",26.8
144,Entire Network (RSV-NET),2021-2022,Overall,Overall,Female,"Black, non-Hispanic",30.2
145,Entire Network (RSV-NET),2021-2022,Overall,Overall,Female,Hispanic,37.3
146,Entire Network (RSV-NET),2021-2022,Overall,Overall,Female,"White, non-Hispanic",22.8
147,Entire Network (RSV-NET),2021-2022,Overall,Overall,Male,"A/PI, non-Hispanic",16
148,Entire Network (RSV-NET),2021-2022,Overall,Overall,Male,"AI/AN, non-Hispanic",36.4
149,Entire Network (RSV-NET),2021-2022,Overall,Overall,Male,"Black, non-Hispanic",32.8
150,Entire Network (RSV-NET),2021-2022,Overall,Overall,Male,Hispanic,38.1
151,Entire Network (RSV-NET),2021-2022,Overall,Overall,Male,"White, non-Hispanic",23.7
152,Entire Network (RSV-NET),2022-2023,Overall,Overall,Female,"A/PI, non-Hispanic",26.7
153,Entire Network (RSV-NET),2022-2023,Overall,Overall,Female,"AI/AN, non-Hispanic",43.7
154,Entire Network (RSV-NET),2022-2023,Overall,Overall,Female,"Black, non-Hispanic",33.4
155,Entire Network (RSV-NET),2022-2023,Overall,Overall,Female,Hispanic,59
156,Entire Network (RSV-NET),2022-2023,Overall,Overall,Female,"White, non-Hispanic",33.6
157,Entire Network (RSV-NET),2022-2023,Overall,Overall,Male,"A/PI, non-Hispanic",29
158,Entire Network (RSV-NET),2022-2023,Overall,Overall,Male,"AI/AN, non-Hispanic",68.8
159,Entire Network (RSV-NET),2022-2023,Overall,Overall,Male,"Black, non-Hispanic",35.8
160,Entire Network (RSV-NET),2022-2023,Overall,Overall,Male,Hispanic,61.4
161,Entire Network (RSV-NET),2022-2023,Overall,Overall,Male,"White, non-Hispanic",36.3
162,Entire Network (RSV-NET),2014-2015,Overall,----18-29 years,Overall,Overall,0.8
163,Entire Network (RSV-NET),2014-2015,Overall,----30-39 years,Overall,Overall,0.7
164,Entire Network (RSV-NET),2014-2015,Overall,----40-49 years,Overall,Overall,2.1
165,Entire Network (RSV-NET),2014-2015,Overall,----65-74 years,Overall,Overall,9.9
166,Entire Network (RSV-NET),2014-2015,Overall,----75-84 years,Overall,Overall,18.7
167,Entire Network (RSV-NET),2014-2015,Overall,----85+ years,Overall,Overall,33.4
168,Entire Network (RSV-NET),2014-2015,Overall,18+ (Adults),Overall,Overall,4.4
169,Entire Network (RSV-NET),2014-2015,Overall,18-49 years,Overall,Overall,1.2
170,Entire Network (RSV-NET),2014-2015,Overall,50-64 years,Overall,Overall,4.4
171,Entire Network (RSV-NET),2014-2015,Overall,65+ years,Overall,Overall,15.4
172,Entire Network (RSV-NET),2015-2016,Overall,----18-29 years,Overall,Overall,1.6
173,Entire Network (RSV-NET),2015-2016,Overall,----30-39 years,Overall,Overall,1.9
174,Entire Network (RSV-NET),2015-2016,Overall,----40-49 years,Overall,Overall,2.4
175,Entire Network (RSV-NET),2015-2016,Overall,----65-74 years,Overall,Overall,14.4
176,Entire Network (RSV-NET),2015-2016,Overall,----75-84 years,Overall,Overall,26.8
177,Entire Network (RSV-NET),2015-2016,Overall,----85+ years,Overall,Overall,54.9
178,Entire Network (RSV-NET),2015-2016,Overall,18+ (Adults),Overall,Overall,6.7
179,Entire Network (RSV-NET),2015-2016,Overall,18-49 years,Overall,Overall,1.9
180,Entire Network (RSV-NET),2015-2016,Overall,50-64 years,Overall,Overall,6.7
181,Entire Network (RSV-NET),2015-2016,Overall,65+ years,Overall,Overall,23
182,Entire Network (RSV-NET),2016-2017,Overall,----18-29 years,Overall,Overall,1.5
183,Entire Network (RSV-NET),2016-2017,Overall,----30-39 years,Overall,Overall,1.7
184,Entire Network (RSV-NET),2016-2017,Overall,----40-49 years,Overall,Overall,2.1
185,Entire Network (RSV-NET),2016-2017,Overall,----65-74 years,Overall,Overall,16.8
186,Entire Network (RSV-NET),2016-2017,Overall,----75-84 years,Overall,Overall,37.3
187,Entire Network (RSV-NET),2016-2017,Overall,----85+ years,Overall,Overall,78.6
188,Entire Network (RSV-NET),2016-2017,Overall,18+ (Adults),Overall,Overall,8.5
189,Entire Network (RSV-NET),2016-2017,Overall,18-49 years,Overall,Overall,1.7
190,Entire Network (RSV-NET),2016-2017,Overall,50-64 years,Overall,Overall,8.8
191,Entire Network (RSV-NET),2016-2017,Overall,65+ years,Overall,Overall,30.2
192,Entire Network (RSV-NET),2017-2018,Overall,----18-29 years,Overall,Overall,1.4
193,Entire Network (RSV-NET),2017-2018,Overall,----30-39 years,Overall,Overall,1.8
194,Entire Network (RSV-NET),2017-2018,Overall,----40-49 years,Overall,Overall,3.6
195,Entire Network (RSV-NET),2017-2018,Overall,----65-74 years,Overall,Overall,22.2
196,Entire Network (RSV-NET),2017-2018,Overall,----75-84 years,Overall,Overall,47.2
197,Entire Network (RSV-NET),2017-2018,Overall,----85+ years,Overall,Overall,98.9
198,Entire Network (RSV-NET),2017-2018,Overall,18+ (Adults),Overall,Overall,11
199,Entire Network (RSV-NET),2017-2018,Overall,18-49 years,Overall,Overall,2.2
200,Entire Network (RSV-NET),2017-2018,Overall,50-64 years,Overall,Overall,10.9
201,Entire Network (RSV-NET),2017-2018,Overall,65+ years,Overall,Overall,38.6
202,Entire Network (RSV-NET),2018-2019,Overall,----0-<6 months,Overall,Overall,1143.3
203,Entire Network (RSV-NET),2018-2019,Overall,----1-<2 years,Overall,Overall,259.3
204,Entire Network (RSV-NET),2018-2019,Overall,----12-17 years,Overall,Overall,2.2
205,Entire Network (RSV-NET),2018-2019,Overall,----18-29 years,Overall,Overall,1.6
206,Entire Network (RSV-NET),2018-2019,Overall,----2-4 years,Overall,Overall,70.8
207,Entire Network (RSV-NET),2018-2019,Overall,----30-39 years,Overall,Overall,2.5
208,Entire Network (RSV-NET),2018-2019,Overall,----40-49 years,Overall,Overall,3.8
209,Entire Network (RSV-NET),2018-2019,Overall,----5-11 years,Overall,Overall,8.3
210,Entire Network (RSV-NET),2018-2019,Overall,----6-<12 months,Overall,Overall,436.1
211,Entire Network (RSV-NET),2018-2019,Overall,----65-74 years,Overall,Overall,22.8
212,Entire Network (RSV-NET),2018-2019,Overall,----75-84 years,Overall,Overall,46.3
213,Entire Network (RSV-NET),2018-2019,Overall,----85+ years,Overall,Overall,94.6
214,Entire Network (RSV-NET),2018-2019,Overall,0-17 (Children),Overall,Overall,70.9
215,Entire Network (RSV-NET),2018-2019,Overall,0-4 years,Overall,Overall,248.5
216,Entire Network (RSV-NET),2018-2019,Overall,18+ (Adults),Overall,Overall,11.1
217,Entire Network (RSV-NET),2018-2019,Overall,18-49 years,Overall,Overall,2.5
218,Entire Network (RSV-NET),2018-2019,Overall,5-17 years,Overall,Overall,5.4
219,Entire Network (RSV-NET),2018-2019,Overall,50-64 years,Overall,Overall,10.4
220,Entire Network (RSV-NET),2018-2019,Overall,65+ years,Overall,Overall,38
221,Entire Network (RSV-NET),2019-2020,Overall,----0-<6 months,Overall,Overall,1435.1
222,Entire Network (RSV-NET),2019-2020,Overall,----1-<2 years,Overall,Overall,334.8
223,Entire Network (RSV-NET),2019-2020,Overall,----12-17 years,Overall,Overall,2.1
224,Entire Network (RSV-NET),2019-2020,Overall,----18-29 years,Overall,Overall,2.2
225,Entire Network (RSV-NET),2019-2020,Overall,----2-4 years,Overall,Overall,100.1
226,Entire Network (RSV-NET),2019-2020,Overall,----30-39 years,Overall,Overall,3.1
227,Entire Network (RSV-NET),2019-2020,Overall,----40-49 years,Overall,Overall,5.7
228,Entire Network (RSV-NET),2019-2020,Overall,----5-11 years,Overall,Overall,10
229,Entire Network (RSV-NET),2019-2020,Overall,----6-<12 months,Overall,Overall,562.6
230,Entire Network (RSV-NET),2019-2020,Overall,----65-74 years,Overall,Overall,26.9
231,Entire Network (RSV-NET),2019-2020,Overall,----75-84 years,Overall,Overall,55.3
232,Entire Network (RSV-NET),2019-2020,Overall,----85+ years,Overall,Overall,113.4
233,Entire Network (RSV-NET),2019-2020,Overall,0-17 (Children),Overall,Overall,90.2
234,Entire Network (RSV-NET),2019-2020,Overall,0-4 years,Overall,Overall,321.9
235,Entire Network (RSV-NET),2019-2020,Overall,18+ (Adults),Overall,Overall,14
236,Entire Network (RSV-NET),2019-2020,Overall,18-49 years,Overall,Overall,3.5
237,Entire Network (RSV-NET),2019-2020,Overall,5-17 years,Overall,Overall,6.3
238,Entire Network (RSV-NET),2019-2020,Overall,50-64 years,Overall,Overall,13.5
239,Entire Network (RSV-NET),2019-2020,Overall,65+ years,Overall,Overall,45.1
240,Entire Network (RSV-NET),2020-2021,Overall,----0-<6 months,Overall,Overall,725.4
241,Entire Network (RSV-NET),2020-2021,Overall,----1-<2 years,Overall,Overall,204.4
242,Entire Network (RSV-NET),2020-2021,Overall,----12-17 years,Overall,Overall,1.5
243,Entire Network (RSV-NET),2020-2021,Overall,----18-29 years,Overall,Overall,1.3
244,Entire Network (RSV-NET),2020-2021,Overall,----2-4 years,Overall,Overall,63.4
245,Entire Network (RSV-NET),2020-2021,Overall,----30-39 years,Overall,Overall,1.7
246,Entire Network (RSV-NET),2020-2021,Overall,----40-49 years,Overall,Overall,1.2
247,Entire Network (RSV-NET),2020-2021,Overall,----5-11 years,Overall,Overall,4
248,Entire Network (RSV-NET),2020-2021,Overall,----6-<12 months,Overall,Overall,284
249,Entire Network (RSV-NET),2020-2021,Overall,----65-74 years,Overall,Overall,5.7
250,Entire Network (RSV-NET),2020-2021,Overall,----75-84 years,Overall,Overall,6.9
251,Entire Network (RSV-NET),2020-2021,Overall,----85+ years,Overall,Overall,11
252,Entire Network (RSV-NET),2020-2021,Overall,0-17 (Children),Overall,Overall,49.3
253,Entire Network (RSV-NET),2020-2021,Overall,0-4 years,Overall,Overall,177.3
254,Entire Network (RSV-NET),2020-2021,Overall,18+ (Adults),Overall,Overall,2.8
255,Entire Network (RSV-NET),2020-2021,Overall,18-49 years,Overall,Overall,1.4
256,Entire Network (RSV-NET),2020-2021,Overall,5-17 years,Overall,Overall,2.8
257,Entire Network (RSV-NET),2020-2021,Overall,50-64 years,Overall,Overall,2.8
258,Entire Network (RSV-NET),2020-2021,Overall,65+ years,Overall,Overall,6.7
259,Entire Network (RSV-NET),2021-2022,Overall,----0-<6 months,Overall,Overall,1287.2
260,Entire Network (RSV-NET),2021-2022,Overall,----1-<2 years,Overall,Overall,323.9
261,Entire Network (RSV-NET),2021-2022,Overall,----12-17 years,Overall,Overall,3.1
262,Entire Network (RSV-NET),2021-2022,Overall,----18-29 years,Overall,Overall,3.3
263,Entire Network (RSV-NET),2021-2022,Overall,----2-4 years,Overall,Overall,122.1
264,Entire Network (RSV-NET),2021-2022,Overall,----30-39 years,Overall,Overall,4.4
265,Entire Network (RSV-NET),2021-2022,Overall,----40-49 years,Overall,Overall,4.5
266,Entire Network (RSV-NET),2021-2022,Overall,----5-11 years,Overall,Overall,14.2
267,Entire Network (RSV-NET),2021-2022,Overall,----6-<12 months,Overall,Overall,517.2
268,Entire Network (RSV-NET),2021-2022,Overall,----65-74 years,Overall,Overall,20.3
269,Entire Network (RSV-NET),2021-2022,Overall,----75-84 years,Overall,Overall,43.3
270,Entire Network (RSV-NET),2021-2022,Overall,----85+ years,Overall,Overall,63.8
271,Entire Network (RSV-NET),2021-2022,Overall,0-17 (Children),Overall,Overall,90.1
272,Entire Network (RSV-NET),2021-2022,Overall,0-4 years,Overall,Overall,314.2
273,Entire Network (RSV-NET),2021-2022,Overall,18+ (Adults),Overall,Overall,11.1
274,Entire Network (RSV-NET),2021-2022,Overall,18-49 years,Overall,Overall,4
275,Entire Network (RSV-NET),2021-2022,Overall,5-17 years,Overall,Overall,9
276,Entire Network (RSV-NET),2021-2022,Overall,50-64 years,Overall,Overall,11.1
277,Entire Network (RSV-NET),2021-2022,Overall,65+ years,Overall,Overall,32
278,Entire Network (RSV-NET),2022-2023,Overall,----0-<6 months,Overall,Overall,2042.2
279,Entire Network (RSV-NET),2022-2023,Overall,----1-<2 years,Overall,Overall,550.6
280,Entire Network (RSV-NET),2022-2023,Overall,----12-17 years,Overall,Overall,6.2
281,Entire Network (RSV-NET),2022-2023,Overall,----18-29 years,Overall,Overall,4.7
282,Entire Network (RSV-NET),2022-2023,Overall,----2-4 years,Overall,Overall,243.2
283,Entire Network (RSV-NET),2022-2023,Overall,----30-39 years,Overall,Overall,6.5
284,Entire Network (RSV-NET),2022-2023,Overall,----40-49 years,Overall,Overall,7.3
285,Entire Network (RSV-NET),2022-2023,Overall,----5-11 years,Overall,Overall,30.6
286,Entire Network (RSV-NET),2022-2023,Overall,----6-<12 months,Overall,Overall,877.9
287,Entire Network (RSV-NET),2022-2023,Overall,----65-74 years,Overall,Overall,40.1
288,Entire Network (RSV-NET),2022-2023,Overall,----75-84 years,Overall,Overall,81.8
289,Entire Network (RSV-NET),2022-2023,Overall,----85+ years,Overall,Overall,141.9
290,Entire Network (RSV-NET),2022-2023,Overall,0-17 (Children),Overall,Overall,157.9
291,Entire Network (RSV-NET),2022-2023,Overall,0-4 years,Overall,Overall,541.7
292,Entire Network (RSV-NET),2022-2023,Overall,18+ (Adults),Overall,Overall,19.9
293,Entire Network (RSV-NET),2022-2023,Overall,18-49 years,Overall,Overall,6
294,Entire Network (RSV-NET),2022-2023,Overall,5-17 years,Overall,Overall,19.2
295,Entire Network (RSV-NET),2022-2023,Overall,50-64 years,Overall,Overall,17.7
296,Entire Network (RSV-NET),2022-2023,Overall,65+ years,Overall,Overall,63.8
297,Entire Network (RSV-NET),2014-2015,Overall,----18-29 years,Overall,"A/PI, non-Hispanic",0
298,Entire Network (RSV-NET),2014-2015,Overall,----18-29 years,Overall,"AI/AN, non-Hispanic",0
299,Entire Network (RSV-NET),2014-2015,Overall,----18-29 years,Overall,"Black, non-Hispanic",2.2
300,Entire Network (RSV-NET),2014-2015,Overall,----18-29 years,Overall,Hispanic,0.3
301,Entire Network (RSV-NET),2014-2015,Overall,----18-29 years,Overall,"White, non-Hispanic",0.3
302,Entire Network (RSV-NET),2014-2015,Overall,----30-39 years,Overall,"A/PI, non-Hispanic",0.3
303,Entire Network (RSV-NET),2014-2015,Overall,----30-39 years,Overall,"AI/AN, non-Hispanic",0
304,Entire Network (RSV-NET),2014-2015,Overall,----30-39 years,Overall,"Black, non-Hispanic",1.2
305,Entire Network (RSV-NET),2014-2015,Overall,----30-39 years,Overall,Hispanic,0
306,Entire Network (RSV-NET),2014-2015,Overall,----30-39 years,Overall,"White, non-Hispanic",0.6
